ipa,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,velaric,tense,long,hitone,hireg,localdurationandpitch
ɒ,1,1,-1,1,-1,-1,-1,0,1,-1,-1,0,-1,0,-1,-1,1,1,1,-1,1,-1,0,0,0
ɔ,1,1,-1,1,-1,-1,-1,0,1,-1,-1,0,-1,0,-1,-1,-1,1,1,-1,-1,-1,0,0,0
ə,1,1,-1,1,-1,-1,-1,0,1,-1,-1,0,-1,0,-1,-1,-1,1,-1,-1,-1,-1,0,0,0
ɘ,1,1,-1,1,-1,-1,-1,0,1,-1,-1,0,-1,0,-1,-1,-1,1,-1,-1,-1,-1,0,0,0
ɵ,1,1,-1,1,-1,-1,-1,0,1,-1,-1,0,-1,0,-1,-1,-1,1,1,-1,-1,-1,0,0,0
ɞ,1,1,-1,1,-1,-1,-1,0,1,-1,-1,0,-1,0,-1,-1,-1,1,1,-1,1,-1,0,0,0
ɜ,1,1,-1,1,-1,-1,-1,0,1,-1,-1,0,-1,0,-1,-1,-1,1,-1,-1,1,-1,0,0,0
ɛ,1,1,-1,1,-1,-1,-1,0,1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
ɨ,1,1,-1,1,-1,-1,-1,0,1,-1,-1,0,-1,0,-1,1,-1,1,-1,-1,1,-1,0,0,0
ɪ,1,1,-1,1,-1,-1,-1,0,1,-1,-1,0,-1,0,-1,1,-1,-1,-1,-1,-1,-1,0,0,0
ɯ,1,1,-1,1,-1,-1,-1,0,1,-1,-1,0,-1,0,-1,1,-1,1,-1,-1,-1,-1,0,0,0
ɶ,1,1,-1,1,-1,-1,-1,0,1,-1,-1,0,-1,0,-1,-1,1,-1,1,-1,1,-1,0,0,0
ʊ,1,1,-1,1,-1,-1,-1,0,1,-1,-1,0,-1,0,-1,1,-1,1,1,-1,-1,-1,0,0,0
ɐ,1,1,-1,1,-1,-1,-1,0,1,-1,-1,0,-1,0,-1,-1,-1,1,-1,-1,1,-1,0,0,0
ʌ,1,1,-1,1,-1,-1,-1,0,1,-1,-1,0,-1,0,-1,-1,-1,1,-1,-1,1,-1,0,0,0
ʏ,1,1,-1,1,-1,-1,-1,0,1,-1,-1,0,-1,0,-1,1,-1,-1,1,-1,-1,-1,0,0,0
˩,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0
˨,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
˧,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
˦,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
˥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
