target_lang|closest_lang_0|map_dist_0|closest_lang_1|map_dist_1|closest_lang_2|map_dist_2|closest_lang_3|map_dist_3|closest_lang_4|map_dist_4
mri|tnk|0.1091066695567461|tnp|0.10969465346847486|tnn|0.11049466679807457|lww|0.12581474115667235|klv|0.12797689623342803
msy|geb|0.000746041210526759|gai|0.0013233237211075367|tbc|0.006665281948237335|med|0.00789706533066162|kyc|0.007917361023144415
mto|cle|0.0007383930339437603|zty|0.00103935164011363|zpu|0.0010656473551514493|zav|0.0014239564065288734|zpc|0.0014681430492504775
muy|mqb|0.000513635449786099|meq|0.0009221032485896207|xed|0.0029009714106625717|bjv|0.020911758648528206|kyq|0.021947214263006526
mxb|trc|0.002590028029571428|xtm|0.002646225131153242|mie|0.002707229146420998|xtd|0.003074887785825793|mib|0.0032348337817252578
mxq|mto|0.002009166100310878|mco|0.0020551801981276855|zaw|0.0023787072817175003|cle|0.0023877480420600988|zas|0.002435940300724362
mxt|mio|0.000929386272268233|mih|0.0010645507948637|azg|0.0019500824107308917|mpm|0.003839382015046877|cya|0.003854526416933899
myk|spp|0.005730352151284311|box|0.012129090791364792|cme|0.013190798780757183|kyf|0.029675824442103635|yre|0.03064386277090915
myy|bao|0.0025300642495200087|cbc|0.0026426557560650685|tue|0.0029845463390285334|sri|0.0032690489871242253|tav|0.004634655215292892
nab|pab|0.011452536398844266|gyr|0.014186711807414215|cax|0.01811168050336967|kyz|0.027521393248155657|ign|0.031922630780588226
nas|rug|0.013752606129840913|lbb|0.01971955850522189|rai|0.021691394683582846|mee|0.02420012062071481|bgt|0.025574189427040463
nca|bjr|0.0020963489115261155|agd|0.0022353941137888416|dah|0.002283613432637808|boj|0.002964314517364145|omw|0.0030564388742022938
nch|nhw|0.0023118720207475642|tpt|0.0025068544557833804|nhe|0.002748185794088124|tee|0.003711126345402821|toc|0.004956668484301873
ncj|azz|0.0022281702576753743|tos|0.002338929024325566|tee|0.002685874577727829|toc|0.0027417058541006753|tpt|0.003336833709392907
ncl|maz|0.019209503823892256|otq|0.01975042325478533|ote|0.02255112612130708|ngu|0.02321680280892048|crn|0.023245623694862935
ncu|nko|0.006192338791161975|xon|0.009723082548390383|fon|0.012039509232937949|gng|0.012800848199400713|dop|0.013098306259241422
ndj|poy|0.002764646823047656|vid|0.006958590083107041|swh|0.008831923519841921|zga|0.011190568216723588|ruf|0.011968989408644305
nfa|txq|0.00167707525158346|llg|0.0023344111253823887|rgu|0.003846387265009686|hvn|0.004658600859656694|mkn|0.006146577206109764
ngp|ziw|0.004156420810246353|cwe|0.005760339311773519|ruf|0.005961827902463005|kdc|0.008025909949979735|vid|0.010422508352697202
ngu|mit|0.005868452236336149|mxb|0.005995834044346504|trc|0.006669659134187023|mie|0.007673491152212018|mib|0.008272951307753535
nhe|tee|0.0024669603957507844|tpt|0.0024892781177987345|nch|0.002748185794088124|toc|0.003098154627614792|tos|0.0040797586521326475
nhu|ken|0.007099496688367627|bss|0.009476559993729653|nin|0.018387831145339907|mcp|0.0185336625859241|ibo|0.02084822222293757
nhw|nch|0.0023118720207475642|tpt|0.004754342216515559|nhe|0.004792790563057708|tee|0.0060193411081953165|toc|0.007265899844632128
nhy|miz|0.0013584069218702745|npl|0.0014049944341589262|maq|0.001795288335820621|vmy|0.0020677042870632352|maj|0.002593883178005586
nin|hau|0.012244337164566672|atg|0.015962829619650867|nhu|0.018387831145339907|ikk|0.0186518686893979|ken|0.01959826584145215
nko|ncu|0.006192338791161975|fon|0.00742613450486474|xon|0.01448260110293746|dop|0.014803634490742032|soy|0.016143191754391738
nld|ltz|0.01350071210529699|eng|0.021108103791684457|dan|0.021539633547601|fra|0.024699095083768493|cym|0.030879708655801925
nlg|lgl|0.003298349454084983|kwf|0.0037527764371012066|bgt|0.003777287120827428|kwd|0.00432393873084455|far|0.004485773010622309
nnq|swh|0.00866204364888905|poy|0.01041542836767992|kde|0.010717401128522347|mgh|0.012621810054152896|ndj|0.0131712769415692
noa|cuk|0.00400619453728959|kvn|0.005569303641663261|emp|0.0079427885789391|sab|0.017927624380487655|sja|0.02371562792717021
not|cni|0.0036243322228536757|cjo|0.004483149405528629|cot|0.005418318413690205|qvw|0.005502717972501638|cpu|0.0059441810019784935
npl|nhy|0.0014049944341589262|miz|0.002718981429256415|maq|0.0030870440809524927|pls|0.003111132355126966|vmy|0.0032561429854025916
nya|sna|0.021064426041604436|seh|0.029915354672927864|bem|0.030015193359606465|zga|0.03109413199952463|toi|0.033778100885502246
obo|mbt|0.002407561461301279|mbb|0.0025451170128383844|bkd|0.004921141744104229|bpr|0.006022077007713993|tbl|0.006742594551443281
oci|ita|0.024259434632579378|lat|0.026051550509280038|cat|0.02617928478295294|fra|0.028424147202677944|ltz|0.030909984492795837
omw|agd|0.0008359276597081865|tbg|0.000990616369383241|bjr|0.001416229262285208|kmu|0.0018189217087585645|awb|0.0019131565726137037
ood|tac|0.03128130028181844|tew|0.03543570361868237|pao|0.05711456642912155|stp|0.062058308274073194|crn|0.06395823747814763
