target_lang|closest_lang_0|map_dist_0|closest_lang_1|map_dist_1|closest_lang_2|map_dist_2|closest_lang_3|map_dist_3|closest_lang_4|map_dist_4
tap|bem|0.014968738428577835|zga|0.027108658240753775|ndj|0.035928695057854086|poy|0.03820899025957991|vid|0.04090838003701278
taq|box|0.01779857083255614|myk|0.018211619682663122|spp|0.023568194378437716|gux|0.02446292654282156|cme|0.026443977156940315
tar|tac|0.0035036781363433894|stp|0.029151832331396135|crn|0.03160030756986736|ood|0.03313933506874623|tew|0.046488353610251366
tat|chv|0.006382815457022639|rus|0.018034604998350825|ekk|0.0717040343734742|ukr|0.07241947551420488|bel|0.07705941648213431
tau|gwi|0.026703463437252065|dgr|0.060947917456370244|pao|0.14528720740475673|tew|0.19175389170170418|ood|0.20077922762760547
taw|med|0.0025605138912631192|gam|0.002985251217909253|kyc|0.003261043304366887|kue|0.0038197091624028187|msy|0.005633937373849867
tax|kyq|0.0011391412282349953|daa|0.0037419895624391645|bjv|0.016837551436838467|muy|0.022209951358973665|mqb|0.02252907272266206
tay|prf|0.0419396109634539|kne|0.04258512573662135|sgb|0.05183728232310641|fil|0.06869331472387338|kor|0.07689465035147969
taz|dik|0.01622407968201375|udu|0.024266883525513407|mdy|0.04655161541095281|amf|0.047565794012450126|amh|0.05143185978539879
tba|nab|0.010899169066644995|gyr|0.018536013111099085|pab|0.01999182773540003|cax|0.023705828672590277|kyz|0.028228036067738133
tbd|rro|0.005484015546647896|byr|0.00609251053098503|awb|0.007425616073586678|bzh|0.008175079178167925|tbg|0.008214639683652925
tbe|tgp|0.023724383335594984|upv|0.026453567658989287|aia|0.02835191192537203|apb|0.029132508216856715|klv|0.02967224842258062
tbf|rai|0.008162277018015156|lbb|0.0101506642745324|mee|0.015205105483587892|ata|0.016262240436388603|bnp|0.018493585557575118
tbh|pjt|0.10167712417005385|rop|0.1119649657038771|mri|0.11706510280181755|tnk|0.124282508096714|tnp|0.12443273406778636
tbi|udu|0.012831063598098017|amh|0.030363788314250545|mdy|0.034852908580848656|dik|0.03559278971134274|amf|0.03805435439364678
tbj|rai|0.010781106314289466|lbb|0.012798180544658016|mee|0.0141155198259078|ata|0.014527283297198181|bnp|0.015124917911420864
tbk|agn|0.008840169476340828|cgc|0.008963181570300663|sgb|0.01738952149854925|fil|0.018366317613595723|kne|0.026650321906959512
tbm|dik|0.006125218476514316|udu|0.03671151990165158|lug|0.04629835721523288|amf|0.05093172781516948|mdy|0.05226984564101943
tbn|tuf|0.004214450375974752|cui|0.01231352118445629|guh|0.017023325188147333|guo|0.01788631310390439|kvn|0.02999774404924095
tbo|tte|0.00287518711148401|mox|0.004078066948877356|mpx|0.011414846351189258|bjz|0.011486254346136341|mcq|0.014144813597688969
tbp|agg|0.011976845431044046|amk|0.01650149984374964|yva|0.018066529724045093|urt|0.02073320437159802|ipi|0.024911998821791227
