target_lang|closest_lang_0|average_dist_0|map_dist_0|tree_dist_0|asp_dist_0|closest_lang_1|average_dist_1|map_dist_1|tree_dist_1|asp_dist_1|closest_lang_2|average_dist_2|map_dist_2|tree_dist_2|asp_dist_2|closest_lang_3|average_dist_3|map_dist_3|tree_dist_3|asp_dist_3|closest_lang_4|average_dist_4|map_dist_4|tree_dist_4|asp_dist_4
nko|ncu|0.25765107831893547|0.006192338791161975|0.25|0.5167608961656445|fon|0.34246689384436513|0.00742613450486474|0.5789473684210527|0.441027178607178|soy|0.3721660292343553|0.016143191754391738|0.6470588235294117|0.4532960724192625|bba|0.3770980089174503|0.01992956680287246|0.6842105263157895|0.4271539336336889|mkl|0.3890179607217104|0.026026703557953366|0.7|0.441027178607178
nld|ltz|0.37154835177477463|0.01350071210529699|0.4545454545454546|0.6465988886735724|afr|0.37488300576900285|0.4274925326911963|0.13043478260869568|0.5667217020071164|dan|0.3855547648173066|0.021539633547601|0.4736842105263158|0.6614404503780029|deu|0.3899237774236933|0.03243882569935429|0.5|0.6373325065717255|eng|0.3945685857037677|0.021108103791684457|0.5|0.6625976533196185
nlg|bgt|0.03156212600997279|0.003777287120827428|0.09090909090909094|0.0|apb|0.1136707902040666|0.0076790372788664565|0.33333333333333337|0.0|aia|0.12438547709719072|0.009520067655208526|0.36363636363636365|0.0|lgl|0.13153423242672396|0.003298349454084983|0.3913043478260869|0.0|kwf|0.13168570808772936|0.0037527764371012066|0.3913043478260869|0.0
nnq|poy|0.2141663014721619|0.01041542836767992|0.30434782608695654|0.32773564996184923|nya|0.2424206515027015|0.039526304546255275|0.36|0.32773564996184923|seh|0.2484715460859143|0.05767898829589367|0.36|0.32773564996184923|kde|0.24887642337741603|0.010717401128522347|0.28|0.4559118690037257|ndj|0.24934603530008262|0.0131712769415692|0.30434782608695654|0.4305190028717222
noa|cof|0.39136096353017064|0.04864396127218599|0.7142857142857143|0.4111532150326116|con|0.39854290072445875|0.045754550561489506|0.6|0.5498741516118868|tuo|0.39934088048318034|0.06401041633415228|0.7777777777777778|0.3562344473376108|yad|0.4020352943234225|0.07333503359428681|0.6666666666666667|0.466104182709314|mbj|0.40923976811392454|0.08431501306521288|0.6666666666666667|0.4767376246098939
not|cni|0.20820184095359204|0.0036243322228536757|0.33333333333333337|0.28764785730458897|cot|0.21379347069139884|0.005418318413690205|0.2857142857142857|0.35024780794622057|mcb|0.21566842723749047|0.011043188051965207|0.2857142857142857|0.35024780794622057|cjo|0.26262715159250966|0.004483149405528629|0.375|0.4083983053720004|ame|0.28208025808727677|0.007275771094458347|0.2727272727272727|0.5662377304400992
npl|nhy|0.0838016648113863|0.0014049944341589262|0.25|0.0|azz|0.0866629898269287|0.009988969480786071|0.25|0.0|ngu|0.08678709210221709|0.010361276306651271|0.25|0.0|nhe|0.1031446782901239|0.01531638781154819|0.2941176470588235|0.0|nch|0.10351846924679468|0.01643776068156055|0.2941176470588235|0.0
nya|seh|0.0655273404465315|0.029915354672927864|0.16666666666666663|0.0|poy|0.15626392983858764|0.0389410697448052|0.2727272727272727|0.15712344704368497|zga|0.21929635776543713|0.03109413199952463|0.33333333333333337|0.29346160796345333|bem|0.2389721863389941|0.030015193359606465|0.36|0.32690136565737593|nnq|0.2424206515027015|0.039526304546255275|0.36|0.32773564996184923
obo|mbb|0.05347995128498123|0.0025451170128383844|0.1578947368421053|0.0|mbt|0.08852181873271447|0.002407561461301279|0.26315789473684215|0.0|cgc|0.13621020970480774|0.03363062911442323|0.375|0.0|bkd|0.14978852872951623|0.004921141744104229|0.4444444444444444|0.0|tbl|0.2679986061910244|0.006742594551443281|0.6|0.19725322402162992
oci|spa|0.30136268130675353|0.038648936396472884|0.1724137931034483|0.6930253144203393|ast|0.3023467961545211|0.05296387597999551|0.1724137931034483|0.6816627193801195|glg|0.30448585579601006|0.059231577370921565|0.1724137931034483|0.6818121969136604|cat|0.3093589060272661|0.02617928478295294|0.11111111111111116|0.7907863221877343|por|0.32545746470752795|0.06600735369970565|0.22580645161290325|0.6845585888099749
